26  31   0
 29  34   2
 34  39   7
 78  83  51
 73  78  46
 66  71  39
 51  56  24
 39  45  16
 41  47  18
 43  49  22
 43  49  22
 43  47  30
 44  48  31
 46  50  35
 55  59  44
 55  59  44
 41  45  30
 25  29  14
 20  24   9
 16  20   5
 17  21   6
 17  21   6
 18  22   7
 21  25  10
 23  27  12
 24  28  11
 27  31  14
 32  37  17
 37  42  22
 51  56  34
 56  61  39
 18  23   1
 17  22   0
 44  49  27
 72  77  55
 93  98  76
 79  84  62
 51  56  34
 37  42  20
 29  34  12
 24  29   7
 15  20   0
 10  15   0
 55  62  30
 77  84  52
 98 105  69
106 113  77
100 106  79
 83  89  62
 69  77  56
 55  63  42
 35  42  26
 20  27  11
  9  16   0
  6  13   0
  4  10   0
  6  12   0
  6  12   0
  6  12   0
  5  11   0
  6  12   0
 13  19   6
 19  25  12
 26  32  19
 33  39  26
 41  47  36
 47  53  42
 46  52  41
 40  46  35
 27  33  22
 21  27  16
 16  22  11
 18  24  13
 20  26  13
 23  29  16
 22  28  15
 21  27  14
 19  25  12
 18  24  11
 16  22  11
 13  19   8
  9  16   0
 13  20   4
  9  16   0
 13  20   2
 22  32   8
 36  46  22
 44  58  28
 48  62  32
 53  67  37
 53  67  37
 48  61  34
 44  57  30
 43  53  31
 40  50  28
 29  39  17
 14  24   2
  7  17   0
  7  17   0
 14  24   2
 28  38  16
 40  50  28
 45  55  33
 34  44  22
 35  45  23
 44  52  31
 46  54  33
 44  51  33
 42  49  31
 48  50  35
 55  57  42
 66  68  51
 76  78  61
 83  85  68
 75  77  60
 50  52  35
 38  40  23
 32  34  17
 30  32  15
 22  26  11
 13  17   2
  6  14   0
 14  22   1
 65  73  50
 77  85  62
 82  90  65
 77  85  60
 50  58  33
 42  50  25
 40  51  22
 45  56  27
 49  60  31
 49  60  31
 42  53  24
 38  49  20
 47  58  29
 60  71  42
 82  93  64
 62  73  44
 33  44  15
 33  44  15
 42  52  26
 50  60  34
 48  58  34
 47  57  33
 53  63  41
 45  55  33
 26  36  14
 17  27   5
 18  28   6
 29  39  17
 57  65  42
 81  89  66
 65  73  50
 44  52  29
 44  49  27
 36  41  19
 31  36  16
 34  39  19
 37  42  22
 44  49  29
 49  56  38
 53  60  42
 32  39  21
 21  28  10
 20  27   9
 20  27   9
 20  27  11
 16  23   7
 14  21   5
 11  18   2
  8  16   4
  0   6   0
  0   0   0
  4  13   0
  3  13   0
  7  17   0
 30  39   9
 39  48  18
 57  67  30
 61  71  34
 63  71  30
 60  68  27
 79  90  48
103 114  72
107 115  76
 91  99  60
 78  85  51
 77  84  50
 65  71  42
 24  30   1
 35  40  16
 51  56  32
 71  76  52
 79  84  60
 81  86  62
 83  88  64
 73  79  52
 67  73  46
 63  72  44
 63  72  44
 63  71  50
 69  77  56
 54  66  48
 41  53  35
 33  47  40
 23  37  30
 17  37  40
 53  73  76
 64  84  98
 73  93 107
 71  95 115
 71  95 115
 83 108 132
115 140 164
151 174 197
161 184 207
164 182 197
144 162 177
 94 110 121
 69  85  96
 79  95  95
 81  97  97
 63  80  72
 57  74  66
 72  91  80
 56  75  64
 16  38  26
 18  40  28
 54  76  66
 78 100  90
 62  81  75
 32  51  45
 50  64  57
 48  62  55
 33  45  36
 23  35  26
 12  25  13
 10  23  11
 30  43  31
 42  55  43
 27  42  28
 31  46  32
 41  59  44
 45  63  48
 35  53  36
 29  47  30
 39  58  36
 53  72  50
 56  73  47
 29  46  20
 38  55  27
 61  78  50
 75  92  66
 95 112  86
105 122  98
 84 101  77
 58  74  55
 68  84  65
 94 114 100
106 126 112
 95 122 123
 78 105 106
 35  68  91
 52  85 108
128 162 201
147 181 220
166 202 245
158 194 237
106 136 176
 57  87 127
 37  63  96
 73  99 132
 98 126 151
108 136 161
 56  85 103
 30  59  77
 31  61  74
 37  67  80
 14  47  66
 32  65  84
 62 100 131
 79 117 148
 76 118 154
 73 115 151
 90 139 184
148 197 242
151 205 251
137 191 237
151 207 252
162 218 255
151 205 251
151 205 251
148 195 239
160 207 251
171 211 243
165 205 237
153 188 207
105 140 159
 61  95 109
 62  96 110
 91 121 134
119 149 162
140 168 191
152 180 203
143 170 209
 99 126 165
 21  54 100
 22  55 101
101 138 187
153 190 239
162 206 255
158 202 251
155 202 250
153 200 248
147 197 251
147 197 251
143 197 250
143 197 250
138 200 250
137 199 249
136 199 246
136 199 246
139 199 245
141 201 247
148 203 251
150 205 253
139 192 243
116 169 220
120 169 216
141 190 237
149 193 238
148 192 237
157 196 233
154 193 230
141 176 206
160 195 225
175 202 214
150 177 189
157 187 150
155 185 148
140 166 105
109 135  74
 68  85  38
 20  37   0
 41  54  27
117 130 103
130 145 131
 97 112  98
 65  87  89
 77  99 101
119 148 177
154 183 212
156 193 240
157 194 241
148 196 235
149 197 236
146 198 242
146 198 242
143 198 248
142 197 247
139 199 247
139 199 247
139 199 245
139 199 245
137 201 243
136 200 242
136 200 242
136 200 242
136 200 242
136 200 242
136 200 242
136 200 242
136 200 240
136 200 240
136 200 240
136 200 240
136 200 240
136 200 240
136 200 240
136 200 240
137 201 241
137 201 241
139 200 241
139 200 241
143 196 233
140 193 230
145 191 224
145 191 224
157 187 200
158 188 201
158 179 186
143 164 171
101 123 111
 59  81  69
 49  70  49
 77  98  77
 57  78  44
 48  69  35
 62  83  49
 45  66  32
 47  71  31
110 134  94
128 156 110
113 141  95
114 143  90
149 178 125
161 194 142
169 202 150
144 182 153
139 177 148
183 218 239
192 227 248
151 194 237
137 180 223
136 190 234
142 196 240
138 197 239
139 198 240
139 200 241
139 200 241
135 202 243
135 202 243
132 203 243
131 202 242
130 203 240
130 203 240
125 205 240
125 205 240
126 205 240
126 205 240
128 204 240
128 204 240
130 203 240
130 203 240
130 203 240
131 204 241
136 203 240
137 204 241
153 203 241
157 207 245
151 182 225
 44  75 118
  0   9  56
  0   3  50
  2  19  64
 54  71 116
124 162 202
161 199 239
155 208 245
150 203 240
141 201 238
141 201 238
141 202 243
145 206 247
143 202 244
148 207 249
153 198 236
145 190 228
147 190 201
 89 132 143
 73 104  89
 58  89  74
 78 103  74
 66  91  62
 66  85  49
 72  91  55
 94 109  70
111 126  87
114 127  86
 71  84  43
 22  34   0
  0   5   0
  0   9   0
  0  14   0
 13  32  21
 73  92  81
101 129 136
 80 108 115
 14  47  66
  0  22  41
 37  77 107
103 143 173
137 180 219
159 202 241
146 195 238
 91 140 183
  0  47  94
 53 102 149
132 177 235
160 205 255
146 186 248
151 191 253
158 189 247
157 188 246
163 189 233
164 190 234
171 191 215
179 199 223
171 185 226
 88 102 143
 53  62  75
 68  77  90
 70  80  54
 41  51  25
 18  30   0
 15  27   0
 18  25   9
 21  28  12
 11  15   0
 16  20   0
 18  22   0
 45  49  20
 44  48  19
 37  41  14
 29  33   6
 17  23   0
 14  20   0
 22  27   3
 37  42  18
 22  26   9
 22  26   9
 32  36  21
 42  46  31
 37  41  26
 23  27  12
 21  25  10
 20  24   9
 20  24   9
 20  24   9
 21  25  10
 23  27  12
 28  32  17
 31  35  20
 34  38  21
 36  40  23
 43  48  28
 49  54  34
 72  77  55
 85  90  68
 73  78  56
 55  60  38
 46  51  29
 57  62  40
 74  79  57
 60  65  43
 32  37  15
 18  23   1
 20  25   3
 18  23   1
  6  11   0
  1   6   0
 43  48  24
 58  63  39
 77  83  56
 92  98  71
105 110  86
 95 100  76
 89  93  76
 91  95  78
 67  74  56
 30  37  19
 18  25   9
 15  22   6
  5  12   0
  6  13   0
  4  10   0
  0   6   0
  0   5   0
  1   7   0
  5  11   0
  9  15   2
 20  26  13
 27  33  20
 28  34  23
 29  35  24
 26  32  21
 21  27  16
 13  19   8
  8  14   3
  7  13   2
 11  17   6
 15  21  10
 18  24  13
 15  21  10
 14  20   9
 16  22  11
 20  26  15
 19  25  14
 18  24  13
  6  15   0
  5  14   0
 11  21   0
 22  32  10
 24  34   8
 38  48  22
 37  51  21
 30  44  14
 38  52  22
 55  69  39
 74  84  58
 59  69  43
 64  72  49
 60  68  45
 46  54  33
 25  33  12
 18  26   5
 16  24   3
 16  24   3
 25  33  12
 21  29   8
 34  42  21
 37  45  24
 40  48  27
 42  49  31
 39  46  28
 37  41  24
 36  40  23
 40  41  29
 53  54  42
 69  71  56
 87  89  74
 95  97  82
 90  92  77
 80  82  65
 58  60  43
 40  42  25
 36  38  21
 30  34  17
 30  34  17
 32  40  17
 37  45  22
 54  64  40
 61  71  47
 68  78  52
 64  74  48
 55  65  39
 45  55  29
 40  54  24
 40  54  24
 44  58  28
 39  53  23
 30  44  14
 27  41  11
 39  53  23
 51  65  35
 62  76  46
 36  50  20
 45  59  29
 41  55  25
 40  54  24
 37  51  21
 31  44  17
 33  46  19
 48  61  36
 41  54  29
 22  35  12
 11  24   1
 15  25   1
 10  20   0
 12  22   0
 33  43  19
 30  38  15
 29  37  14
 28  33  13
 24  29   9
 21  26   6
 20  25   5
 21  26   6
 25  30  10
 44  48  31
 55  59  42
 48  55  37
 46  53  35
 29  36  18
 21  28  10
 18  25   9
 19  26  10
 18  25   7
 15  22   4
 11  19   5
  3  11   0
  0  10   0
  1  11   0
 26  34  13
 37  45  24
 61  70  42
 71  80  52
 80  87  53
 76  83  49
 57  65  26
 59  67  28
