81  87  58
 69  75  46
 48  54  25
 35  41  12
 41  47  18
 60  66  37
 84  93  63
 93 102  72
 96 105  75
 89  98  68
 91 100  70
100 109  79
 96 107  76
 83  94  63
 54  65  34
 52  63  32
 44  58  26
 43  57  25
 52  66  34
 62  76  44
 79  94  59
 75  90  55
 66  78  40
 59  71  33
 48  61  20
 40  53  12
 36  49   8
 35  48   7
 39  54  17
 50  65  28
 54  69  34
 53  68  33
 45  61  30
 33  49  18
 25  41  10
 25  41  10
 35  52  16
 43  60  24
 45  60  23
 39  54  17
 46  62  20
 65  81  39
 69  85  43
 54  70  28
 38  53  14
 34  49  10
 61  76  39
 81  96  59
 86 101  66
 58  73  38
 64  79  44
 61  76  41
 61  76  41
 72  87  52
 78  92  60
 84  98  66
 84  98  66
 78  92  60
 53  67  35
 44  58  26
 44  58  26
 61  75  43
 71  88  52
 65  82  46
 58  72  40
 50  64  32
 25  35   9
 21  31   5
 30  38  17
 44  52  31
 43  51  30
 44  52  31
 57  65  44
 75  83  62
 78  82  65
 78  82  65
 71  75  60
 67  71  56
 75  76  64
 69  70  58
 88  89  77
100 101  89
 74  77  65
 71  74  62
 62  74  56
 59  71  53
101 113  95
 84  96  78
 60  72  54
 53  65  47
 64  74  52
 81  91  69
 84  92  71
 82  90  69
 74  82  59
 51  59  36
 56  61  41
 60  65  45
 65  72  56
 75  82  66
 54  64  56
 54  64  56
 83  93  90
 52  62  59
 31  38  50
 43  50  62
 37  43  62
 18  24  43
  1   9  29
  0   0  18
  0   6  24
  0   5  23
  0   0  16
  0   0  12
  0   0  15
  0   5  25
  2   9  34
  2   9  34
  0   6  34
  0   3  31
 35  43  73
 77  85 115
 86  97 126
 89 100 129
 87 104 124
 74  91 111
 71  91 103
 44  64  76
 47  69  59
 70  92  82
 85 103  86
 63  81  64
 34  49  35
 27  42  28
 46  59  45
 73  86  72
 83  94  81
 78  89  76
 60  68  56
 45  53  41
 46  52  41
 44  50  39
 40  46  35
 28  34  23
 19  25  16
 20  26  17
 37  42  36
 30  35  29
 21  26  22
 28  33  29
 20  25  21
 35  40  36
 40  45  39
 40  45  39
 33  39  30
 34  40  31
 33  39  28
 49  55  44
 75  81  70
 71  77  66
 91  94  82
107 110  98
 98 101  89
 62  65  53
 28  32  17
  0   0   0
 14  18   3
 15  19   4
 28  33  13
 38  43  23
 43  51  28
 51  59  36
 48  56  33
 43  51  28
 43  51  28
 40  48  25
 26  34   9
 13  21   0
 20  28   3
 21  29   4
 22  31   3
 34  43  15
 40  49  19
 67  76  46
101 111  78
120 130  97
 82  92  57
 36  46  11
  8  18   0
 36  46  11
 69  79  44
 62  72  37
 68  80  42
 82  94  56
 77  89  55
 85  97  63
 71  80  50
 67  76  46
 80  86  59
 77  83  56
 70  75  51
 92  97  73
 70  75  51
 49  54  30
 48  53  29
 37  42  18
 24  29   5
 30  35  11
 39  42  18
 60  63  39
 71  74  50
 46  49  25
 36  40  11
 54  58  29
 73  80  46
 65  72  38
 62  70  31
 63  71  32
 48  56  17
 35  43   4
 46  57  15
 81  92  50
 84  95  53
 62  73  31
 56  67  27
 78  89  49
 74  84  47
 62  72  35
 36  48  12
 31  43   7
 43  55  19
 52  64  28
 50  62  28
 46  58  24
 46  58  22
 47  59  23
 52  64  28
 36  48  12
 26  38   2
 27  39   3
 25  39   9
 41  55  25
 44  57  32
 27  40  15
 47  61  40
101 115  94
142 158 137
134 150 129
126 143 115
121 138 110
 99 116  78
 99 116  78
116 136  79
121 141  84
147 166 105
167 186 125
160 179 116
139 158  95
116 135  85
101 120  70
 97 119  91
110 132 104
131 154 139
136 159 144
134 161 164
133 160 163
 74 105 120
 70 101 116
 98 133 156
135 170 193
115 154 180
 71 110 136
 48  91 122
 69 112 143
 91 138 168
131 178 208
162 212 248
152 202 238
142 197 236
136 191 230
136 192 233
149 205 246
149 205 246
148 204 245
145 204 244
145 204 244
145 204 244
145 204 244
145 204 244
145 204 244
146 205 245
146 205 245
146 205 247
147 206 248
147 206 248
147 206 248
146 205 249
146 205 249
149 205 248
157 213 255
158 212 255
141 195 239
149 198 243
 81 130 175
 85 130 170
131 176 216
151 196 234
166 211 249
160 208 245
154 202 239
143 203 236
146 206 239
150 210 247
147 207 244
146 205 245
149 208 248
147 208 247
145 206 245
146 208 244
145 207 243
144 206 240
141 203 237
144 206 240
149 211 245
152 207 244
149 204 241
146 199 236
144 197 234
149 192 231
144 187 226
147 192 221
147 192 221
154 198 222
152 196 220
153 197 219
173 217 239
187 230 255
175 218 245
158 201 230
158 201 230
159 200 239
152 193 232
170 204 241
174 208 245
177 212 244
163 198 230
161 196 226
168 203 233
151 189 220
152 190 221
157 197 227
155 195 225
156 196 224
155 195 223
150 189 215
141 180 206
132 169 189
123 160 180
127 157 168
137 167 178
154 183 181
171 200 198
171 199 176
169 197 174
180 206 181
183 209 184
179 202 187
184 207 192
189 211 199
186 208 196
172 197 194
188 213 210
179 211 221
175 207 217
156 203 229
155 202 228
150 203 240
150 203 240
150 202 244
150 202 244
148 202 244
146 200 242
145 201 242
145 201 242
143 203 240
143 203 240
142 204 238
142 204 238
